Post,Emotion,Sentiment
This is gold.,Appriciation,positive
Well said.,Good,positive
Shared with my friends.,Positivity,positive
Amazing,Awasome,positive
Meh.,Bad,negative
Seen better.,Good,positive
Complete fail.,Fail,negative
Waste of space on my feed.,Waste,negative
Can't decide.,confuse,neutral
Kidna neutral about this.,confuse,neutral
"Hmm,not sure.",confuse,neutral
Neutral vibes.,Neutral,neutral
Exactly what I needed.,Happy,positive
Nailed it.,Happy,positive
Made me snort with laughter.,Happy,positive
You're a legend.,Appreciation,positive
Disappointing.,Disappointment.,negative
Waste of effort.,Bad,negative
I want those 10 seconds of my life back.,Regret,Negative
Boring.,Bad,Negative
"Didn,t even chuckle.",Bad,Negative
Could take it or live it.,Not decided,neutral
So so.,Neutral,neutral
Neither here nor there.,Neutral,neutral
Middle of the road.,Neutral,neutral
Keep 'em coming.,Happy,positive
This is too good.,Good,positive
Pure genious.,Genious,positive
Couldn't agree more.,Good,positive
Could've been better.,Bad,negative
Just no.,No,negative
Not even remotely funny.,Not Funny,negative
Didn't even smirk.,Bad,negative
Didn't really register with me.,Neutral,neutral
"Could be better,could be worse.",Confuse,neutral
"Didn't love it,didn't hate it.",confuse,neutral
Didn't make much of an impression.,Okay,neutral
Fantastic service and quick delivery!,Fantastic,positive
Fantastic point!,Fantastic,positive
So clever!,Clever,positive
I'm dying.,Bad,negative
Waste of creativity.,Bad,negative
Uninspired.,Sad,negative
Seriously lacking.,Bad,negative
Delete this.,Bad,negative
Not swayed either way.,Neutral,neutral
Didn't catch my interest.,Neutral,neutral
Sort of indifferent.,Indifferent,neutral
"Best thing I,ve seen today!",Happy,positive
Brilliantly put!,Brilliant,positive
Didn't provoke much reaction.,Neutral,neutral
"Didn,t really care either way.",Neutral,neutral
"Meh,it's okay.",Meh,neutral
Good.,Good,positive
Awasome.,Awasome,positive
Bad.,Bad,negative
Mesmerizing.,Good,positive
Out.,Mixed feelings,neutral
Unexpected.,Neutral,neutral
Great job.,Great,positive
This new product is amazing!It exceeded my all expectations.,Amazing,positive
"Great job on the project,team!Well done!",Great,positive
I love this community!Everyone is so supportive and kind.,Love,positive
Fantastic service at the restaurant tonight.Highly recommend.,Fantastic,positive
Highly suspicious.,Suspicious,neutral
So happy with my purchase.Will definitely buy again!,Happy,positive
Thank you for sharing such positivity.,Positivity,positive
I'am incredibly greatful for the help I received.Truely wonderful experience.,Greatful,positive
Best vacation ever!Can't wait to go back.,Best,positive
Loving the new dark mode feature!,Love,positive
"Loving the new update,the  app is so much smoother now.",Love,positive
Congratulations on your success!You deserved it!,Happy,positive
I'm really disappointed with the survice I received today.,Sad,negative
The product broke after just one use.Very poor quality.,Sad,negative
This update is terrible.The app keeps crashing.,Bad,negative
I had a horrible experience at the restaurant.Never going back.,Bad,negative
Your customer service is the worst I've ever encountered.,Bad,negative
Totally unimpressed.Not worth the money at all.,Bad,negative
This post is extremely offensive.You should take it down.,Bad,negative
Such a waste of time.I'll never get those hours back.,Regret,negative
I'm fed up with all these bugs in the software.Fix it already!,Bad,negative
The concert was a disaster . Sound quality was awful.,Awful,negative
"Interesting perspective, thanks for sharing.",Interesting,neutral
Does anyone have more information on this topic?,Confuse,neutral
I'll have to do some research on this before forming an opinion.,Neutral,neutral
Can someone recommend a good book on this subject?,confuse,neutral
"I see both sides of the argument,but I'm still undecided.",Undecided,neutral
"Just another typical day,nothing special.",Okay,neutral
"I noticed some changes in the policy,need to read more about it.",Neutral,neutral
Does  anyone know the opening hours for this store?,Confuse,neutral
"I haven't tried it yet,but I've heard mixed reviews.",Mixed feelings,neutral
What's the latest update on this situation?,Confuse,neutral
what's the problem?,Bad,negative
Baseless.,Baseless,negative
Best one.,Good,positive
So innocent.,Good,positive
Keep it up.,Good,positive
Disgusting.,Bad,negative
Totally unimpressed.Not worth the money at all.,Unimpressed,negative
To be honest.,Neutral,neutral
Well said.,Well,positive
Absolutely right.,Good,positive
Best wishes to you.,congratulations,positive
Good advice.,Good,positive
wow!,Wow,neutral
Love you.,Love,positive
Thank you for sharing such positivity.,Positivity,positive
Thank you for sharing this video.,Happy,positive
Soo funny!,Funny,neutral
Same to you.,Bad,neutral
Nice video.,Nice,positive
Best,Best,positive
Same case.,Not understand,neutral
That's the reality,Not understand,neutral
"change the topic,intolerable.",Intolerable,negative
Beautiful!,Beautiful,positive
So gorgeous!,Gorgeous,positive
Ever best video in my 40 year experience.,Good,positive
Great!,Good,positive
It is not available app  on iPhone.,Sad,neutral
"I will be purchasing full course soon,it asked me to pay in rupees.",Interesting,positive
"Sure,I will try this.",Interesting,positive
Go ahead with another topic.,Intolerable,negative
Wow so beautiful!,Beautiful,positive
It's true.,Good,positive
please come,Good,positive
Perfect .,Good,positive
He is suffering from constipation problem.,Sad,negative
Better the never the late,Good,positive
Sounds very familiar.,Good,positive
Simply incredible performance!,Incredible,positive
Most relatable to film star.,Good,positive
Nice expression.,Nice,positive
Your performance what happening!Satisfied?,Satisfied,positive
This is the best in recent times.,Best,posituive
Now this is way too much.,Not understand,neutral
"If you want to start anything,you should do it always without bothering about the time.",Positivity,positive
So talented.,Good,positive
Which kind of behaviour is it?,Bad,negative
Lots of love.,Love,positive
Advance congratulations!,congratulations,positive
I was eagerly waiting for your video.,Excited,positive
How cute!,Cute,positive
All the best.,Best,positive
I did not expect this.,Unexpected,negative
The original song is much better than the new one.,Better,negative
Not good .old one is altime favourite.,Bad,negative
Not touch the emotions.,Bad,negative
"Please don,t do this",Advice,neutral
Getting the fullest vibe of lifting the cup this year with this new theme song.,Good,positive
"I respect her talent, but the vibe is not there,the original one rocks.",Neutral,neutral
Best of luck.,Wish,positive
It's bloody sweet.,Good,positive
Can't wait to see how these new avatars perform on the field!,Excited,positive
"It,s beautiful but it lacks energy.",Beautiful,neutral
"Like it but doesn,t work at time when we definitely want our spirit running high.",Mixed feelings,neutral
Showcasing her full range of talent.,Bad,negative
This track is the perfect blend of cricket and music.,Appreciation,positive
Respect for the hard work.,Respect,positive
It shows some touch of indian classical music.,Good,positive
Confidently ruining the original theme song.,Ruin,negative
Old is gold.,Good,positive
Wow this is so cool.,Good,positive
Unplugged version.,Good,positive
Highly overrated.,Overrated,negative
Such a wonderful presentation.,Wonderful,positive
This friendship is always be ture.,TRUE,positive
No comment beacause this is game.,No comment,neutral
Very bad editing.,Bad,negative
Very good gesture,Good,positive
"Where is lost,there is find.go ahead don't worry be happy.",Advice,positive
Genuine Respect to his Idol.,Respect,positive
"Don,t make people fool by posting such fake pictures.",Fake,negative
Wow very delicious mouth watering .,Love,positive
Delicious love from taste of life,Love,positive
Really authentic.,Authentic,positive
Dude the way you present in simply awasome.,Awasome,positive
What a show of food!,Good,posative
I just love your reviews and presentation.,Love,positive
Quality is pretty much dipped..hope you had a decent experience.,Decent,neutral
Not bad,Good,neutral
Nice product I'm purchase the product for my sister.,Nice,positive
Very nice collection.,Nice,positive
Beautiful lady beautiful dance.,Beautiful,positive
You are the best according to me.,Best,positive
Best dancer.,Best,positive
My favourite.,Favourite,positive
I like you so much.,Like,positive
Excellent!,Good,positive
Extraordinary,Good,positive
Good advice.,Good,positive
Good news carry on ,Good,positive
may god bless you.,Wish,positive
Fake news.,Fake,negative
Should give Oscar award they are not God just human being stop giving importance to them media no other work leave them alone.,Bad,negative
Immaturity of indian media crossing all boundaries.,Bd,negative
Why people r getting mad.,Madness,negative
I can't see anything.,Neutral,neutral
Why she walk like that?,confuse,neutral
Waiting for this day.,Excitement,positive
Why does the media so much focus on stars?,confusion,neutral
"Their kids,will be pcyco like them only.",Bad,negative
"She looks tired,still in good composure.",Not understand,neutral
Bless both of you.,Wish,positive
Unless uneducated so called stars.,Bad,negative
Why so much fuss?,Confusion,neutral
We are happy for this.,Happy,positive
Fun for me.,Funny,neutral
Wow I'm happy to witness your amazing performances.,Happy,positive
"Oh I,m so excited.I cannot wait to see this!",Excitement,positive
This is extremely joyous.,Joyous,positive
All the stories are summarized very captivatingly.,Captivatingly,positive
Facebook is not child friendly at all.Disgraceful.,Disgraceful,negative
Very good movie show and highly recommended.,Good,positive
"I love the story,I've watched it repeatedly.",Love,positive
It's too amazing movie.,Amazing,positive
What nonsense!,Sad,negative
These people make social media dirty.,Bad,negative
Where is the community standard of Mark Zuckerberg?,Bad,negative
 What is the point of this?,Confusion,neutral
How low can you go.sad what you do for attention.,Sad,negative
Looks uncomfortable and so unnatural.,Unnatural,negative
I'm shocked.,Sad,negative
That looks so ridiculous.,Ridiculous,negative
No respect for herself.,No Respect,negative
this is unnecessary.,Unnecessary,negative
Great form!,Happy,positive
We get the inspiration from you to live merrily.,Happy,positive
Count me in everyone.,Good,positive
As usual creative.too good.,Creativity,positive
This is hilarious.,Good,positive
Nothing to say.,No comment,neutral
I always find creativity in your videos.,Creativity,positive
Veg comedy.,Bad,negetive
Last one is epic.,Good,positive
Sorry.,Confusion,neutral
Very important for us.,Importance,positive
Really hats off to You.,Appreciation,positive
May your dream comes true!,Wish,positive
So elegant!,Good,positive
Just looking like wow.,Wow,positive
You seem pretty.,Good,positive
Overacting.,Bad,negative
I love you so much for your help and support to our clients with and without any problem.,Love,positive
keep going.,Good,positive
Realatable.,Good,positive
scripted.,Bad,negative
I love this moment.,Love,positive
logical.,Good,positive
Introvert,Introvert,neutral
Extrovert.,Extrovert,neutral
Enjoy it.,Happy,positive
Treanding.,New,neutral
He destroying it.,Bad,negative
Year of the picture.,Good,positive
The end.,Not decided,neutral
Mind blowing teacher and teaching process.,Good,positive
stop this nonsense.,Bad,negative
Powerpact performance.,Good,positive
Distinguish,Neutral,neutral
"You are a great comedian,beacause you never use any slang language in your video.",Appreciation,positive
Well played.,Good,positive
Proud to be a part.,Proud,positive
Very sweet presentation.,Good,positive
What a joke!,confusion,neutral
No explanation required totally awsome,Awasome,positive
Seriously brilliant,Brilliant,positive
Beautiful rendition,Beautiful,positive
Totally mad,Bad,negative
Good for nothing,Bad,negative
Good hand practice.,Good,positive
Money is power.,Bad,negative
Awasome I wish it was me.,Awasome,positive
Am I the only one who saw it as a waste of flowers?,Confusion,neutral
"Why wasting so much flowers,money and effort of labour for this unless thing.",Bad,negative
"Sorry to say If someone would have done it for me,I would've been feeling guilty to so many flowers.",Bad,negetive
"Such a fckn waste of flowers,time and other resources.",Bad,negative
They ruined it,Ruined,negative
She  is very luckey to have such an amazing person who is doing all this for her.,Good,positive
It's a amazing feeling when she achieved a perfect match.,Amazing,positive
Where this location?,Confusion,neutral
Showing the maturity,Positivity,positive
Is that kind of love exist?,Confusion,neutral
Just dream only,Okay,neutral
Fake love for reels & views.,Fake,negative
Look at her expertise already..such a darling.,Good,positive
Yum recipe.Super cute chef.,Good,positive
 Very nice speech.,Nice,positive
Yes we have lots of time but we do not do something thanks of bunch my sir.,Mixed feelings,neutral
I am your fan.,Love,positive
Very nice motivation.,Nice,positive
"Time is dimond,dimond is power.",Good,positive
Learner is always save to Time.,Good,positive
Time is very precious for all.,Precious,positive
This makes sense it has meaning if you look on it deeply..love the thaughts a lil funny but really motivational.,Love,positive
This reminds me of how someone talks.,Good,positive
You really brightened my day.,Happy,positive
"Most of the people only see it as a joke.But from what I have understand,it was life.",Good,positive
Grabe.so inspiring.so motivational.This make me succeed to failure.,Motivational,positive
"This  video breaks my heart my toes,my knees,my shoulder,and my head.",Sad,negative
Rareb footage of beast from beauty and the beast.,Good,positive
everything he said is right to the deepest.,Good,positive
"While I was looking at the post,and suddenly my brain stop working.",Not understand,neutral
the last is the best stop dreaming start doing.,Good,positive
that is very moving..i almost fell out of my chair and spit my coffee out.,Neutral,neutral
If you don�t like this video you need to have covid test beacause you have no taste.,Positivity,positive
Life changing.,Good,positive
It has deep meaning in every phrases.,Good,positive
Is this sarcasm or motivation?,Confusion,neutral
"Some of these are funny,some are a bit too close to the truth.",Mixed feelings,neutral
"Humor can be a good coping mechanism for politics,I suppose.",Neutral,neutral
"Ugh,politics is already too much of a joke.",Bad,negative
Can't we escape politics for one second?,Bad,negative
"Haha,this made my day!",Happy,positive
This is terrible.,Terrible ,negative
I can't believe how awful this is.,Awful,negative
What a disappointing!,Disappointment.,negative
I'm so over this.,Bad,negative
Not impressed.,Bad,negative
Not sure if laughing or crying at the state of politics.,Confusion,neutral
"Eh, I've heard better political jokes.",Bad,negative
It's refreshing to see some lightheartedness in the midst of all the seriousness.,Good,positive
This is just bad.,Bad,negative
I expected better.,Sad,negative
Total fail.,Bad,negative
I regret watching this.,Regret,negative
Fantastic work!,Fantastic,positive
Absolutely love it!,Love,positive
Can't get enough of this.,Good,positive
Impressive stuff!,Good,positive
So proud of you!,Proud,positive
Incredible job!,Awasome,positive
keep up the great work!,Great,positive
"Hmm,not sure what to think.",Confusion,neutral
"Not bad,Not great.",Mixed feelings,neutral
Meh.,Meh,neutral
I see what you are trying to do.,Not understand,neutral
It's decent.,Decent,neutral
Not really my thing.,Not understand,neutral
"Love a good laugh, thanks for sharing.",Love,positive
"Brilliant joke,really lightened the mood.",Brilliant,positive
Not a fan of mixing humor with politics.,Bad,negative 
These jokes just remind me how messed up everything is.,Bad,negative.
"Needed this chuckle,keep'em coming!",Excitement,positive
You have a talent for finding the humor in politics!,Appreciation,positive
Feels like we're trivializing serious issues with these jokes.,Bad,negative
These are floating colours pens.my daughter also having same..the drawing done by these pens really floats in water..,Not decided,neutral
What do you do with them after?,Confusion,neutral
Reaction is very funny.,Funny,negative
Crazy dance in public.,Bad,negative
Hm all are equal to me.,Equality,positive
Salute you.,Good,positive
"It,s possible in Bengal as the baby give respect to the force.",Respect,positive
Really very heart touching,Good,positive
Post which brings tears in my eyes.,Emotional,positive
"Good job,this is called family education ,our next generation citizen,nice post.",Good,positive
Indian Army deserves our respect.,Respect,positive
Salute to our brave soldiers.,Respect,positive
Very impressive quality.,Impressive,positive
hard working lady.,Appreciation,positive
So unhygienic full of germs and bacteria..,Bad,negative
How cost where is available pl reply,Confusion,neutral
I think plain make sense since stain on colour is not good for health,Bad,negative
Good job but not hygienic they are not clearing after process.,Good,neutral
I have no language to speak.,Confusion,neutral
At present good business.,Good,positive
Safety first.Save your fingers.,Advice,neutral
Machine price?,curiosity,neutral
Give me contact number.,Good,neutral
"Very good work,team sprite.",Good,positive
"Self business,very good.",Good,positive
Madam take care your hand please.,Advice,positive
I can smell this video.,Positivity,positive
"Inspiring to see their art of work,mind and heart are should cooperate to finish their work.",Inspiring,positive.
It was very nice to see the machine video of making a very beautiful hand stole.,Nice,positive
Ladies popular item.,Popular,neutral
We hardly want this moment again.,Excitement,positive
Beautiful system.,Beautiful,positive
Great skills!,Graet,positive
Worst system.,Worst,negative
Bad skills.,Bad,negative
I am deeply shock and sympathitic for his family.,Sympathitic,positive
It was a great lost of his family and country.,Great,positive
He is a proud son of our country.,Proud,positive
My heart is broken when he cruelly cut the book.,Sad,negative
Only a fool destroys books.,Sad,negative
Great way to  convert the books of an awful author into something useful.,Awful,negative
You destroyed a book just so you can make a case for a cellphone?,Bad,negative
Totally illogical waste of things and valuable time.,Illogical,negative
This page must be unfollowed.,Bad,negative
Seems liketoo much work and waste for a phone case.,Bad,negative
This  book is  worth more than your phone.,Bad,negative
"The best part is ,it's Harry Potter book.So many people are upset.",Sad,negative
What a total disrespect for books.,Sad,negative
"Bro,you could,ve just destroyed another book instead of a Harry Potter book!",Sad,negative
A perfectly good book.,Good,negative
Wait.You destroy a whole book for that?,Sad,negative
How can you destroy a book?,Sad,negative
I didn't get the idea and I felt bad for the Harry Potter book.,Sad,negative
Jk rowlings book it's so sad to craft to phone.,Sad,negative
For some reason I find it cruel.,Cruel,negative
What is wrong with people?,Confusion,neutral
It amuse me how people destroy perfectly good things to put their own twist on it.,Amuse,negative
Too much work for a phone case..no thanks.I'll just buy a simple one.,Sad,negative
Totally love the dragon.,Love,positive
Very creative.,Creativity,positive
Destroy a book for vanity.Nice message you are teaching the younger generation.,Sad,negative
Love the dragon one.,Love,positive
"Good book,bad skill attitude.",Good,neutral
Why are you doing this?I can't see any points for it.,Sad,negative
"Well that started terrible,got worse.",Terrible ,negative
"Lots of work,but pretty cool sometimes I definitely would use on my phone case.",Pretty,negative
Why not just use some old books and magazine?,Sad,negative
You will not only teach the children to recycle but also help the nature..Why new one?,Bad,negative
What a waste.,Sad,negative
This five minutes craft should be stopped.,Bad,negative
Absolutely ridiculous I don't understand why you use.,Rediculous,negative
Why spoiling that book?,Sad,negative
That took way too much time and money.Just buy a phone cover for $20.,Neutral,neutral
How can you destroy a perfect Potter book for bullshit like that.,Sad,negative
How could you ruin a book like that for craft?Respect others work of art.,Ruined,negative
What horror!,Mixed feelings,neutral
That's how you use the book of an horrible author.,Horrible,negative
Disrespect.I love harry Potter book and there are many people who love too.,Love,positive
Lame.What was the point of using a book again?,Lame,negative
"Excuse me but this is stupid,you destroy an good book from an simply thing what you can add in any 15c store.",Stupidity,negative
Seriously?,Confusion,neutral
I couldn't watch the whole video.,Not interested,neutral
It hurt me.,Sad,negative
Stupidest thing I've ever watched.,Bad,negative
Not all have that cutter and grinder.Only the technicians.,Not understand,neutral
That book is more important than your life.,Importance,positivity
Best way to use harry potter books.,Best,negative
Why not even make the book's title hidden..it's very rud and disrespectful.,Disrespectful,negative
Thats my dream book.,emotional,neutral
This was so satisfying to watch,Satisfication,positive
"Not fond of this ""phone case"" love the books.",Love,negative.
This is the most useless video that I've been watch.,Bad,negative
Don't like Harry Potter any way lol.,Bad,negative
It ticks me off to see  someone ruining a good book just for some stupid project.,Stupidity,negative
Nice book my favourite childhood movie and books now it�s a cp case.,Nice,positive
Everything is perfect.,Perfect,positive
you misused the book for mobile.,Sad,negative
next time please use a phone book or something else of a novel.,Advice,neutral
What a stupid video!,Stupidity,negative
Anyway it is a good work.,Good,positive
I am sad.,Sad,negative
"Such a waste of book,why can't you use a real wood instead of this?",Sad,negative
I hate when they cut the books when it's too valuable in normal stage.,Hate,negative
Not with Harry Potter book in that case not with other book as well..bad bad.,Bad,negative
Sad so many people dreaming to have that book.,Sad,negative
Magical and a lot of work.,Good,positive
Best use of it.,Best,positive
"You can keep that book for hundred years,but the phone can only last 3 years.",Emotional,neutral
Wow this video ended in a way I wasn't expecting at all.,Wow,negative
This is too much effort.,Bad,negative
How dear You.,Bad,negative
After first time use I'm feel like amazing .,Amazing,positive
Awasome product.,Awasome,positive
Leave the man not understanding .I am a woman and don't understand these brushes.,Confusion,neutral
Thanks for the tutorial.,Good,positive
They got the foundation brush wrong.That's my concealer brush.,Misuse,negetive
I think I'm a man too when it comes to things to do with beauty and cosmetics.,Confusion,neutral
Some of you don't need to make up but you need plastic surgery.,Bad,negetive
Same with bolts and nuts.,Bad,negetive
Tell him to paint his bedroom with his toothbrush.He will get to know all brushes are not the same.,Bad,negative
I'm a lady but doesn't understand.,Not understand,neutral
Are these brushes  for wall painting?,Confusion,neutral
"Not men only,I will also say brush is brush.",Positivity,positive
I know these as paint brushes.,Good,positive
I do everything with the powder brush except eyeshadow.,Not understand,neutral
"If you paint miniatures and/or scale models,you'd totally understand.",Bad,negative
"It,s easy to apply  with certain blush for certain area.",Good,positive
"Wait,where is the paint brush?",Bad,negative
All makeup artist know all these brushes and when to use it while makeup.,Not understand,neutral
"Even me,I don't even understand what that's brushes use for.",Not understand,neutral
Me neither lol I only use my finger for applying make up on all perts of my face.,Bad,negative
I heard it first time.,Not understand,neutral
"That,s why girls are so good in chemistry.",Bad,negative
This is a lie.,Lie,negative
Artist smiles in the corner.,Good,positive
Oh really?,Confusion,neutral
Very beautiful indeed.,Beautiful,positive
So impressive.,Impressive,positive
That is incredible!Beautiful too!,Beautiful,positive
Super cool.,Cool,positive
Wonderful experience.,Wonderful,positive
I never knew there were so many different ways to read a book.,Different,neutral
Make me a outdoor bed my friend I am tired?,Request,positive
Talented man very nice work wish I could do this.,Good,positive
This is fire.,Good,positive
What an exited match?,Excitement,positive
"I,am leaving this comment So when someone like it will remember and listen this master piece.",Like,positive
Many times I have heard this song in youtube shorts.,Good,neutral
Master piece.,Good,positive
When someone likes my comment I get reminded of the song.,Like,positive
This song motivated me.,Motivational,positive
It brings a tear to my eye.,Emotional,positive
Honestly this song as got me through the hard times.,Honesty,positive
I rate this song 90000 out of infinity.,Love,positive
I love this music especially in the rain.,Love,positive
Legends are listening in March 2024.,Good,positive
"Unbelievable,but as a 60 year old,I can absolutely relate to this.",Unbelievable,positive
I love the beats and word in this song.,Love,positive
This is song literally encouraged me from inside.,Happy,positive
Lyrics is one level up.,Good,positive
This song still hits hard after years.,Good,positive
When I listen this song it makes me remember the girl who had lung cancer.,Emotional,positive
"Everytime I listen to it,it gives goosebumps.",Good,positive
It fills me with fire.,Good,positive
If you never have experience imagine dragons live your missing out.,Good,positive
This video helped me get through my depression.,Helpful,positive
Stop messing around.,bad,negative
Indulge in vulgarity.,bad,negative
Your funny post cools me whenever I am angry.,Funny,positive
I feel relax.,Good,positive
"Your channel is a hidden gem,thank you for sharing your amazing taste in music with us.",Amazing,positive
Like no cap I watched this song like 1000 times a day.,Like,positive
Your video has brought back so many good memories for me.,Good,positive
Energetic.,Energetic,positive
Perfection!,Perfection,positive
never gets old.,Positivity,positive
Gets old.,Negetivity,negative
Not perfect.,Not perfect,negative
Not energetic.,Not energetic,negative
I feel discomfort.,Uncomfortable,negative
please reveled the original truth.I was puzzled.,Puzzled,neutral
Thanks goodness RCB & its irritating fans are gone.,Irritating,negative
Paper Fall!,Bad,negative
Your analysis is very mordan in terms of data and some of the points you make a very insightful.,Insightful,positive
You are people here very much happy in happening such debacle.Shame!,Happy,positive
Feel sorry for Virat koholi.,Sorry,positive
He tried everything but his hard luck at IPL counting.,Sad,positive
You deserve it.,Good,positive
"He has everything ,except the luck.",Sad,positive
Everyday I learn from you,Good,positive
"Its happens in cricket,nothing else.",Okaay,neutral
Who eats too much chilies man?,Bad,negative
It's so unhygienic and too much oily.,Unhygienic,negative
I thought she was using aquarium to put green water.,Funny,negative
Why does everything have to be so spicy?,Confusion,neutral
My order is not received since three weeks.,Bad,negative
Girl is must beautiful and nice puchka.,Nice,positive
Very hardworking didi ji God bless you.,Wish,positive
Live long.,Wish,positive
Dear lady please use a spoon..It's hygenic,Bad,negative
Was it a fish tank?,Confusion,neutral
Super duper hit!,Happy,positive
Very nice and very nice style making golgappa with freshness natural area.,Nice,positive
Very good recipe.,Good,positive
Natural beauty.,Beautiful,positive
Looking amazing in saree.,Amazing,positive
Appreciate her for her hard work.,Appreciation,positive
Yummy!,Good,positive
Stay blessed.,Wish,positive
I'm also a temu fan.All the same product in Amazon but less the markup.,Bad,negative
Woow how can you manage those chilies?,Bad,negative
The other background song is better.,Better,neutral
Can I try?,Confusion,neutral
Everything you cook looks great I truly would love to try it.,Good,positive
Nice food.,Nice,positive
You are so crezy.,Crezy,negative
My stomach is paining after watching him eating raw meat.,Bad,negative
"Nice all your video my mouth become bigger,while you eat.God bless you more.",Nice,positive
I don�t know whether preparing uncook food cosidered as cooking.,Bad,negative
I need your cook book .How much for one?,Confusion,neutral
You are addicted to eating raw meat.,Bad,negative
Its not fully cooked also..how he liked it?,Bad,negative
Congratulations on your amazing cooking videos!,Amazing,positive
Your talent as a chef shines through in every dish you creat.,Good,positive
"Keep up the fantastic work,and I look forward to more delicious recipes from you in the future.",Fantastic,positive
"The guy is tallented,give him some credit for his work.",Appreciation,positive
He'll eat us one day.,Bad,negative
Best cooking food ever nice and yummy.,Best,positive
One of the best preparator I have ever seen.,Good,positive
I like cooking.,Like,positive
"Your food looks good,your manners at the table not,it is really disgusting.",Good,negative
I hate raw food but I approve it.,Mixed feelings,neutral
The video is good.But raw fish is dangerous for our health.,Good,neutral
No it doesn't taste good.,Bad,negative
I always have to watch these videos .,Happy,positive
Can you make a Indian food.,curiosity,neutral
This video only makes me so very hungry.,Good,positive
Go eat sea food.,Advice,neutral
I was corona was coming again.,Bad,negative
"Excuse sir,can you stop eating raw foods please.",Bad,negative
"Why didn't he just eat it raw like that,there's literally nothing he cooked there.",Bad,negative
I see full 1 hour but me no stress.,Good,positive
I know you not eating that..its scripted.,Bad,negative
Your cooking skills are awful.,Awful,negative
I a'm starving.,Starving,neutral
It contains many bacterias.,Bad,negative
Am I the only one that gets disgusted when he eats raw food?,Bad,negative
Water is coming from my mouth.,Good,positive
Bro ruins everything.,Ruins,negative
This man is demonic.,Bad,negative
This video is for the money and viewers..mindless.,Bad,negative
"If you throw it into the water,it starts to swim.",Bad,negative
You are right.,Right,positive
You are wrong.,Wrong,negative
Especially the ones that will always snitch on you.,Good,positive
I am one of the cousins.,Neutal,neutral
Wish I could relate.,Normal,neutral
Sarcastic but so true.,Mixed feelings,neutral
partner in crime.,Bad,negetive
We were caught red-handed.,Bad,neutral.
Time to get that waffle maker out!,Good,positive
Finish chewing before you take another bite.,Advice,negative
What the hell is that!It's like a 9year old trying to cook.,Bad,negative
Greedy.,Greedy,negative
That noodle waffle is just wrong.,Wrong,negative
So pretty much make everything into waffles.,Pretty,positive
I would kick my friends out if they did that.,Funny,negative
You ruined the noodles.,Ruined,negative
 Traffic was terrible this morning.                 ,Terrible ,negative
Attempting to beat the record for the most consecutive cartwheels. Cartwheel challenge: Underway! , Excitement ,positive
Organizing a movie marathon with friends. Popcorn and cinematic adventures await! , Joy ,positive
Experimenting with a new hair color. A bold change for a bold semester! , Excitement ,positive
Building a time capsule to capture memories for the future. Time-traveling emotions! , Joy ,positive
Accidentally walked into the wrong classroom on the first day. Classroom mix-up: Awkward start! , Embarrassed ,negative
